star, Rigil_Kentaurus, navigational stars, Cen, nan, nan, nan, nan, j2000, r 3.83799, r -0.00360026, r -1.06178, r 0.000339094
star, Sabik, navigational stars, Oph, nan, nan, nan, nan, j2000, r 4.49587, r 1.93494e-05, r -0.274451, r 4.65654e-05
star, Schedar, navigational stars, Cas, nan, nan, nan, nan, j2000, r 0.176748, r 4.70866e-05, r 0.986764, r -1.53356e-05
star, Shaula, navigational stars, Sco, nan, nan, nan, nan, j2000, r 4.59724, r 6.72494e-07, r -0.647583, r -1.38287e-05
star, Sirius, navigational stars, CMa, nan, nan, nan, nan, j2000, r 1.76779, r -0.000277183, r -0.291752, r -0.000585641
star, Spica, navigational stars, Vir, nan, nan, nan, nan, j2000, r 3.51332, r -2.01678e-05, r -0.194802, r -1.42751e-05
star, Suhail, navigational stars, Vel, nan, nan, nan, nan, j2000, r 2.39108, r -1.20045e-05, r -0.758042, r 7.53136e-06
star, Vega, navigational stars, Lyr, nan, nan, nan, nan, j2000, r 4.87357, r 0.000126012, r 0.676902, r 0.000138246
star, Zubenelgenubi, navigational stars, Lib, nan, nan, nan, nan, j2000, r 3.88719, r -5.34207e-05, r -0.279983, r -3.30387e-05
star, Polaris, navigational stars, UMi, nan, nan, nan, nan, j2000, r 0.662512, r 0.00158281, r 1.55795, r -7.672e-06
star, Octantis, navigational stars, Oct, nan, nan, nan, nan, j2000, r 5.53604, r 0.000611551, r -1.55258, r 8.70299e-07
